Index	CorrectMemoryResponse	ItemNumber	List	ItemType	Ambiguity	MemoryLoad	Condition	Region_1RT.rt	Region_2RT.rt	Region_3RT.rt	Region_4RT.rt	TotalRT	ComprehensionRT.keys	ReferentChoice	ComprehensionRT.rt	Memory_ComprehensionRT.keys	Memory_ComprehensionRT.corr	Memory_ComprehensionRT.rt	Region_5RT.rt	Region_6RT.rt	Region_7RT.rt	expName	session	participant	WMC
52	q	52	1	Filler	NA	NA	MismatchFMLow	1.868946075	0.785630941	0.919197083	1.385540962	7.265260696	2	Obj	2.852030993	p	0	2.752320051	0.53548789	0.485248804	1.285208941	List1	1	P195	60
35	p	35	1	Filler	NA	NA	MatchMM	1.885426998	0.735802889	0.502237082	0.602753878	5.018102647	2	Obj	2.926165819	p	1	3.131453991	0.470362902	0.403055906	0.418462992	List1	1	P195	60
11	p	11	1	Exp	No	High	NoHigh	0.752802134	0.636187792	0.483809948	0.586144924	4.851432563	1	Sub	2.676454067	p	1	3.535400867	0.886119843	0.553356886	0.953011036	List1	1	P195	60
53	p	53	1	Filler	NA	NA	MismatchFMLow	0.868793964	0.451932907	0.48526597	0.935286999	4.381040573	1	Sub	1.786187887	p	1	2.76816678	0.452045918	0.452317953	0.735396862	List1	1	P195	60
17	q	17	1	Exp	No	High	NoHigh	0.685971022	0.750432968	0.452373028	0.552108049	4.797418117	3	None	8.352131128	q	1	5.468909979	0.651988029	0.602036953	1.102508068	List1	1	P195	60
54	p	54	1	Filler	NA	NA	MismatchFMLow	0.918663025	0.418662786	0.402040005	0.518658876	5.180880784	2	Obj	2.868567944	q	0	4.868932962	0.602159023	0.501923084	1.818773985	List1	1	P195	60
21	space	21	1	Exp	One	Low	OneLow	1.102061033	1.018603086	0.601896048	1.951991081	6.764401196	2	Obj	3.249351978	space	1	1.551868916	0.452353954	0.535373926	1.102122068	List1	1	P195	60
48	q	48	1	Filler	NA	NA	MismatchMF	1.485634089	0.568789005	0.71885705	0.93550396	5.963533163	3	None	2.03562808	q	1	6.885621071	0.518969059	0.852078199	0.883701801	List1	1	P195	60
3	space	3	1	Exp	One	Low	OneLow	1.23553896	0.702059984	0.635294914	1.402277946	6.231896638	2	Obj	1.618752003	space	1	1.135398149	0.552381992	0.718833923	0.985508919	List1	1	P195	60
42	p	42	1	Filler	NA	NA	MatchFF	4.668868065	0.651973963	0.485641003	0.668701172	7.88120699	2	Obj	1.835866928	p	1	2.085122108	0.535305977	0.435400009	0.435316801	List1	1	P195	60
